sclk,uttime,target,time_ca,targ_pos_x,targ_pos_y,targ_pos_z,source,data_reliability,table_set_id,coadd_cnt,osp_fil_1_status,oss_fil_2_status,csp_fil_3_status,css_fil_4_status,seq_table,cyc_num,cyc_table,scan_num,trap_table,sw_table,mass_table,focus_table,da_table,velocity_comp,ipnum,mass_per_charge,os_lens2,os_lens1,os_lens4,os_lens3,qp_lens2,qp_lens1,qp_lens4,qp_lens3,qp_bias,ion_defl2,ion_defl1,ion_defl4,ion_defl3,top_plate,p_energy,alt_t,view_dir_t_x,view_dir_t_y,view_dir_t_z,sc_pos_t_x,sc_pos_t_y,sc_pos_t_z,sc_vel_t_x,sc_vel_t_y,sc_vel_t_z,sc_vel_t_scx,sc_vel_t_scy,sc_vel_t_scz,lst_t,sza_t,ss_long_t,distance_s,view_dir_s_x,view_dir_s_y,view_dir_s_z,sc_pos_s_x,sc_pos_s_y,sc_pos_s_z,sc_vel_s_x,sc_vel_s_y,sc_vel_s_z,lst_s,sza_s,ss_long_s,sc_att_angle_ra,sc_att_angle_dec,sc_att_angle_tw,c1counts,c2counts
,ms,,ms,km,km,km,,,,,,,,,,,,,,,,,,km/s,,Da/z,V,V,V,V,V,V,V,V,V,V,V,V,V,V,eV,km,,,,km,km,km,km/s,km/s,km/s,km/s,km/s,km/s,hours,deg,deg,km,,,,km,km,km,km/s,km/s,km/s,hours,deg,deg,rad,rad,rad,,
sclk,uttime (ms),target,time_ca (ms),targ_pos_x (km),targ_pos_y (km),targ_pos_z (km),source,data_reliability,table_set_id,coadd_cnt,osp_fil_1_status,oss_fil_2_status,csp_fil_3_status,css_fil_4_status,seq_table,cyc_num,cyc_table,scan_num,trap_table,sw_table,mass_table,focus_table,da_table,velocity_comp (km/s),ipnum,mass_per_charge (Da/z),os_lens2 (V),os_lens1 (V),os_lens4 (V),os_lens3 (V),qp_lens2 (V),qp_lens1 (V),qp_lens4 (V),qp_lens3 (V),qp_bias (V),ion_defl2 (V),ion_defl1 (V),ion_defl4 (V),ion_defl3 (V),top_plate (V),p_energy (eV),alt_t (km),view_dir_t_x,view_dir_t_y,view_dir_t_z,sc_pos_t_x (km),sc_pos_t_y (km),sc_pos_t_z (km),sc_vel_t_x (km/s),sc_vel_t_y (km/s),sc_vel_t_z (km/s),sc_vel_t_scx (km/s),sc_vel_t_scy (km/s),sc_vel_t_scz (km/s),lst_t (hours),sza_t (deg),ss_long_t (deg),distance_s (km),view_dir_s_x,view_dir_s_y,view_dir_s_z,sc_pos_s_x (km),sc_pos_s_y (km),sc_pos_s_z (km),sc_vel_s_x (km/s),sc_vel_s_y (km/s),sc_vel_s_z (km/s),lst_s (hours),sza_s (deg),ss_long_s (deg),sc_att_angle_ra (rad),sc_att_angle_dec (rad),sc_att_angle_tw (rad),c1counts,c2counts
2005-048T00:03:19.322,199322,"EPIMETHEUS",-742328,80616,128804,-498,"csn",0,"156-1",30,"Off","Off","High-EV","Off",14,31,49,1,0,0,45,0,1,6.0,1,1.0,0.04,0.02,-29.86,-12.83,0.039,-88.053,0.116,-88.054,-1.023,-32.72,27.63,26.91,-32.49,0.14,0.187,71797.904,,,,-68016.81,-23202.91,19.85,-1.233,4.956,0.071,,,,17.179,78.68,238.85,214784,,,,146817,156770,-364,11.011,-13.463,0.13,-5.223,100.708,54.77,,,,25,6
2005-048T00:03:19.356,199356,"EPIMETHEUS",-742294,80617,128803,-498,"csn",0,"156-1",30,"Off","Off","High-EV","Off",14,31,49,1,0,0,45,0,1,6.0,2,2.0,0.04,0.02,-29.86,-12.83,0.039,-88.053,0.116,-88.054,-1.023,-32.72,27.63,26.91,-32.49,0.14,0.373,71797.889,,,,-68016.85,-23202.75,19.85,-1.233,4.956,0.071,,,,17.179,78.68,238.85,214784,,,,146817,156769,-364,11.011,-13.463,0.13,-5.223,100.708,54.77,,,,97,13
2005-048T00:03:19.390,199390,"EPIMETHEUS",-742260,80617,128803,-498,"csn",0,"156-1",30,"Off","Off","High-EV","Off",14,31,49,1,0,0,45,0,1,6.0,3,3.0,0.04,0.02,-29.86,-12.83,0.039,-88.053,0.116,-88.054,-1.023,-32.72,27.63,26.91,-32.49,0.14,0.56,71797.874,,,,-68016.89,-23202.58,19.85,-1.233,4.956,0.071,,,,17.179,78.68,238.85,214784,,,,146818,156769,-364,11.011,-13.463,0.13,-5.223,100.708,54.77,,,,12,9
2005-048T00:03:19.424,199424,"EPIMETHEUS",-742226,80617,128803,-498,"csn",0,"156-1",30,"Off","Off","High-EV","Off",14,31,49,1,0,0,45,0,1,6.0,4,4.0,0.04,0.02,-29.86,-12.83,0.039,-88.053,0.116,-88.054,-1.023,-32.72,27.63,26.91,-32.49,0.14,0.746,71797.86,,,,-68016.93,-23202.41,19.85,-1.233,4.956,0.071,,,,17.179,78.68,238.85,214784,,,,146818,156768,-364,11.011,-13.463,0.13,-5.223,100.708,54.77,,,,15,7
2005-048T00:03:19.458,199458,"EPIMETHEUS",-742192,80617,128803,-498,"csn",0,"156-1",30,"Off","Off","High-EV","Off",14,31,49,1,0,0,45,0,1,6.0,5,5.0,0.04,0.02,-29.86,-12.83,0.039,-88.053,0.116,-88.054,-1.023,-32.72,27.63,26.91,-32.49,0.14,0.933,71797.845,,,,-68016.97,-23202.24,19.86,-1.233,4.956,0.071,,,,17.179,78.68,238.85,214784,,,,146819,156768,-364,11.011,-13.463,0.13,-5.223,100.708,54.77,,,,17,9
2005-048T00:03:19.492,199492,"EPIMETHEUS",-742158,80618,128803,-498,"csn",0,"156-1",30,"Off","Off","High-EV","Off",14,31,49,1,0,0,45,0,1,6.0,6,6.0,0.04,0.02,-29.86,-12.83,0.039,-88.053,0.116,-88.054,-1.023,-32.72,27.63,26.91,-32.49,0.14,1.119,71797.83,,,,-68017.02,-23202.07,19.86,-1.233,4.956,0.071,,,,17.179,78.68,238.85,214784,,,,146819,156767,-364,11.011,-13.463,0.13,-5.223,100.709,54.77,,,,22,5
2005-048T00:03:19.526,199526,"EPIMETHEUS",-742124,80618,128803,-498,"csn",0,"156-1",30,"Off","Off","High-EV","Off",14,31,49,1,0,0,45,0,1,6.0,7,7.0,0.04,0.02,-29.86,-12.83,0.039,-88.053,0.116,-88.054,-1.023,-32.72,27.63,26.91,-32.49,0.14,1.306,71797.815,,,,-68017.06,-23201.9,19.86,-1.233,4.956,0.071,,,,17.179,78.68,238.85,214784,,,,146819,156767,-364,11.011,-13.463,0.13,-5.223,100.709,54.77,,,,15,11
2005-048T00:03:19.560,199560,"EPIMETHEUS",-742090,80618,128802,-498,"csn",0,"156-1",30,"Off","Off","High-EV","Off",14,31,49,1,0,0,45,0,1,6.0,8,8.0,0.04,0.02,-29.86,-12.83,0.039,-88.053,0.116,-88.054,-1.023,-32.72,27.63,26.91,-32.49,0.14,1.492,71797.801,,,,-68017.1,-23201.73,19.86,-1.233,4.956,0.071,,,,17.179,78.68,238.85,214783,,,,146820,156766,-364,11.011,-13.463,0.13,-5.223,100.709,54.77,,,,20,8
